,open,high,low,close,volume
2013-10-02 15:20:36.700,1436.0,1436.0,1436.0,1436.0,2.0
2013-10-02 15:20:36.800,1436.0,1436.0,1436.0,1436.0,1.0
2013-10-02 15:20:37.000,1436.0,1436.0,1436.0,1436.0,2.0
2013-10-02 15:20:37.100,1436.0,1436.0,1436.0,1436.0,1.0
2013-10-02 15:20:37.300,1436.25,1436.25,1436.25,1436.25,2.0
2013-10-02 15:20:37.400,1436.0,1436.25,1436.0,1436.25,62.0
2013-10-02 15:20:37.500,1436.25,1436.25,1436.25,1436.25,79.0
2013-10-02 15:20:37.800,1436.0,1436.0,1436.0,1436.0,1.0
2013-10-02 15:20:37.900,1436.25,1436.25,1436.25,1436.25,1.0
2013-10-02 15:20:38.200,1436.25,1436.25,1436.25,1436.25,2.0
2013-10-02 15:20:38.300,1436.25,1436.25,1436.25,1436.25,1.0
2013-10-02 15:20:38.500,1436.25,1436.25,1436.25,1436.25,5.0
2013-10-02 15:20:39.000,1436.25,1436.25,1436.25,1436.25,10.0
2013-10-02 15:20:39.100,1436.0,1436.0,1436.0,1436.0,1.0
2013-10-02 15:20:39.400,1436.25,1436.25,1436.25,1436.25,5.0
2013-10-02 15:20:39.500,1436.25,1436.25,1436.0,1436.0,3.0
2013-10-02 15:20:39.600,1436.0,1436.0,1436.0,1436.0,1.0
2013-10-02 15:20:39.700,1436.0,1436.0,1436.0,1436.0,1.0
2013-10-02 15:20:39.900,1436.25,1436.25,1436.25,1436.25,6.0
2013-10-02 15:20:40.300,1436.25,1436.25,1436.25,1436.25,1.0
2013-10-02 15:20:40.700,1436.0,1436.0,1436.0,1436.0,3.0
2013-10-02 15:20:40.800,1436.0,1436.0,1436.0,1436.0,2.0
2013-10-02 15:20:41.000,1436.0,1436.0,1436.0,1436.0,1.0
2013-10-02 15:20:41.200,1436.0,1436.0,1436.0,1436.0,1.0
2013-10-02 15:20:41.400,1436.0,1436.0,1436.0,1436.0,1.0
2013-10-02 15:20:41.900,1436.0,1436.0,1436.0,1436.0,1.0
2013-10-02 15:20:42.100,1436.25,1436.25,1436.25,1436.25,1.0
2013-10-02 15:20:42.400,1436.0,1436.0,1436.0,1436.0,4.0
2013-10-02 15:20:42.600,1436.0,1436.0,1436.0,1436.0,10.0
2013-10-02 15:20:42.800,1436.0,1436.0,1436.0,1436.0,7.0
2013-10-02 15:20:43.000,1436.25,1436.25,1436.25,1436.25,1.0
2013-10-02 15:20:43.100,1436.0,1436.0,1436.0,1436.0,1.0
2013-10-02 15:20:43.300,1436.0,1436.0,1436.0,1436.0,1.0
2013-10-02 15:20:43.600,1436.25,1436.25,1436.25,1436.25,2.0
2013-10-02 15:20:43.700,1436.25,1436.25,1436.25,1436.25,3.0
